Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	circulatory system development (GO:0072359)	7/126	0.0002464165713140087	0.1194827984802887	0	0	6.126672891378774	50.90338252989662	BMP2;CDKN1A;PDLIM3;SALL1;TH;HEY2;TNNI3
GO_Biological_Process_2021	photoreceptor cell development (GO:0042461)	3/15	0.0003866323526781013	0.1194827984802887	0	0	25.637305699481864	201.4588790654014	TH;CDHR1;DCX
GO_Biological_Process_2021	regulation of cardiac muscle contraction (GO:0055117)	4/36	0.0004122033938738556	0.1194827984802887	0	0	12.872395833333334	100.32737146227348	HCN4;NPPA;TNNI3;ADRA1A
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	9/244	0.0006999934756492328	0.1194827984802887	0	0	4.007759699624531	29.114128042659463	CHRNA3;OMP;CHRNA2;GAD1;MPZ;SYT10;CRH;GAD2;CHRNA10
GO_Biological_Process_2021	synaptic transmission, cholinergic (GO:0007271)	3/19	0.0007999623587002096	0.1194827984802887	0	0	19.224093264248705	137.08596871764152	CHRNA3;CHRNA2;CHRNA10
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	10/306	0.0009091015209099052	0.1194827984802887	0	0	3.543301365882011	24.813930044760586	CHRNA3;OMP;CHRNA2;TH;GAD1;MPZ;SYT10;CRH;GAD2;CHRNA10
GO_Biological_Process_2021	positive regulation of cardiac muscle contraction (GO:0060452)	2/5	0.0009371199880806964	0.1194827984802887	0	0	68.0446735395189	474.45504268177865	NPPA;ADRA1A
GO_Biological_Process_2021	gamma-aminobutyric acid metabolic process (GO:0009448)	2/5	0.0009371199880806964	0.1194827984802887	0	0	68.0446735395189	474.45504268177865	GAD1;GAD2
GO_Biological_Process_2021	heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	2/6	0.0013966136871799	0.1321006768196717	0	0	51.03092783505155	335.4622535860817	HS3ST3B1;HS6ST2
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	4/53	0.0018001543881143	0.1321006768196717	0	0	8.39923469387755	53.08217926626584	HCN4;BMP2;HEY2;NPPA
GO_Biological_Process_2021	cardiac conduction system development (GO:0003161)	3/25	0.001818463982994	0.1321006768196717	0	0	13.976919453603392	88.19105061471599	HCN4;HEY2;NPPA
GO_Biological_Process_2021	negative regulation of cardiocyte differentiation (GO:1905208)	2/7	0.0019426570120539	0.1321006768196717	0	0	40.822680412371135	254.88451454347717	BMP2;HEY2
GO_Biological_Process_2021	cellular amino acid biosynthetic process (GO:0008652)	2/7	0.0019426570120539	0.1321006768196717	0	0	40.822680412371135	254.88451454347717	GAD1;GAD2
GO_Biological_Process_2021	synaptic transmission, dopaminergic (GO:0001963)	2/7	0.0019426570120539	0.1321006768196717	0	0	40.822680412371135	254.88451454347717	TH;CRH
GO_Biological_Process_2021	positive regulation of striated muscle contraction (GO:0045989)	2/7	0.0019426570120539	0.1321006768196717	0	0	40.822680412371135	254.88451454347717	NPPA;ADRA1A
GO_Biological_Process_2021	nervous system development (GO:0007399)	11/447	0.0047340322752875	0.2857032876025906	0	0	2.641309199107364	14.138869902353004	SNTG2;CHRNA3;ARTN;DLX5;FABP7;MPZ;DLX6;ZIC1;DCX;PAX6;PRDM12
GO_Biological_Process_2021	regulation of Wnt signaling pathway (GO:0030111)	5/111	0.0047617214600431	0.2857032876025906	0	0	4.864664625111133	26.01207211238796	BMP2;SALL1;WIF1;GRB10;LGR6
GO_Biological_Process_2021	aortic valve development (GO:0003176)	3/36	0.0052167714938236	0.2956170513166731	0	0	9.312764955252002	48.94674300174067	BMP2;HEY2;NPPA
GO_Biological_Process_2021	heart development (GO:0007507)	6/164	0.005634215386195	0.3024684049431037	0	0	3.9265822784810127	20.33536667652801	BMP2;CDKN1A;PDLIM3;SALL1;TH;TNNI3
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	4/77	0.0069371019739147	0.3353619361381759	0	0	5.630993150684931	27.99094153758776	FGFBP1;BMP2;VASH2;SCG2
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	5/123	0.0073101233450823	0.3353619361381759	0	0	4.3672907977637765	21.48049852835145	BMP2;FOXE3;VASH2;SCG2;AREG
GO_Biological_Process_2021	visual system development (GO:0150063)	3/41	0.0075152173945902	0.3353619361381759	0	0	8.085355876738479	39.5440633087066	FOXE3;PBX3;PAX6
GO_Biological_Process_2021	heart process (GO:0003015)	2/14	0.0080467414400482	0.3353619361381759	0	0	17.00343642611684	81.9988691363917	TNNI3;TRDN
GO_Biological_Process_2021	signal release from synapse (GO:0099643)	3/43	0.0085770421661769	0.3353619361381759	0	0	7.680310880829015	36.54803549298013	GAD1;SYT10;GAD2
GO_Biological_Process_2021	positive regulation of neuron differentiation (GO:0045666)	3/43	0.0085770421661769	0.3353619361381759	0	0	7.680310880829015	36.54803549298013	DLX1;DLX2;BMP2
GO_Biological_Process_2021	neurotransmitter secretion (GO:0007269)	3/44	0.0091392396079098	0.3353619361381759	0	0	7.492607102236826	35.17912470984309	GAD1;SYT10;GAD2
GO_Biological_Process_2021	epithelial to mesenchymal transition (GO:0001837)	3/47	0.0109528735333083	0.3353619361381759	0	0	6.980687706076307	31.511895380159324	EOMES;BMP2;HEY2
GO_Biological_Process_2021	cell surface receptor signaling pathway involved in heart development (GO:0061311)	2/17	0.011796443870131	0.3353619361381759	0	0	13.600687285223367	60.38646889116274	BMP2;HEY2
GO_Biological_Process_2021	positive regulation of heart rate (GO:0010460)	2/17	0.011796443870131	0.3353619361381759	0	0	13.600687285223367	60.38646889116274	NPPA;ADRA1A
GO_Biological_Process_2021	muscle tissue morphogenesis (GO:0060415)	2/17	0.011796443870131	0.3353619361381759	0	0	13.600687285223367	60.38646889116274	BMP2;HEY2
GO_Biological_Process_2021	aminoglycan biosynthetic process (GO:0006023)	3/49	0.0122691979051818	0.3353619361381759	0	0	6.67650371705339	29.38104549950916	HS3ST3B1;HS3ST3A1;HS6ST2
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	4/92	0.0127950437879945	0.3353619361381759	0	0	4.667613636363637	20.344715360821425	FGF16;BMP2;VASH2;SCG2
GO_Biological_Process_2021	regulation of heart contraction (GO:0008016)	4/93	0.0132701836460165	0.3353619361381759	0	0	4.614934456928839	19.946833962391672	HCN4;TH;NPPA;TRDN
GO_Biological_Process_2021	blood circulation (GO:0008015)	3/51	0.0136723927186284	0.3353619361381759	0	0	6.397668393782383	27.461202167410853	HCN4;TNNI3;TRDN
GO_Biological_Process_2021	sensory perception (GO:0007600)	3/51	0.0136723927186284	0.3353619361381759	0	0	6.397668393782383	27.461202167410853	USH1G;PROK2;PRDM12
GO_Biological_Process_2021	atrioventricular valve morphogenesis (GO:0003181)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	BMP2;HEY2
GO_Biological_Process_2021	branching involved in ureteric bud morphogenesis (GO:0001658)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	BMP2;SALL1
GO_Biological_Process_2021	cardiac atrium morphogenesis (GO:0003209)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	BMP2;HEY2
GO_Biological_Process_2021	heparan sulfate proteoglycan biosynthetic process (GO:0015012)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	HS3ST3B1;HS6ST2
GO_Biological_Process_2021	ureteric bud development (GO:0001657)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	BMP2;SALL1
GO_Biological_Process_2021	ureteric bud morphogenesis (GO:0060675)	2/19	0.0146433948332493	0.3353619361381759	0	0	11.999393571861734	50.68262950726714	BMP2;SALL1
GO_Biological_Process_2021	heart morphogenesis (GO:0003007)	3/53	0.0151632077498169	0.3353619361381759	0	0	6.141139896373057	25.724518527782863	BMP2;TH;HEY2
GO_Biological_Process_2021	regulation of cytosolic calcium ion concentration (GO:0051480)	5/148	0.0153982750745273	0.3353619361381759	0	0	3.5992018452751435	15.021268123768852	CALB2;SCGN;PROK2;CHRNA10;ADRA1A
GO_Biological_Process_2021	glycosaminoglycan metabolic process (GO:0030203)	3/54	0.0159416659359055	0.3353619361381759	0	0	6.020420603474551	24.91743177263826	HS3ST3B1;HS3ST3A1;HS6ST2
GO_Biological_Process_2021	cardiac epithelial to mesenchymal transition (GO:0060317)	2/20	0.0161666242170096	0.3353619361381759	0	0	11.332187857961054	46.74308095109728	BMP2;HEY2
GO_Biological_Process_2021	cardiac ventricle development (GO:0003231)	2/20	0.0161666242170096	0.3353619361381759	0	0	11.332187857961054	46.74308095109728	SALL1;HEY2
GO_Biological_Process_2021	regulation of lymphocyte differentiation (GO:0045619)	2/20	0.0161666242170096	0.3353619361381759	0	0	11.332187857961054	46.74308095109728	TBX21;PRDM1
GO_Biological_Process_2021	regulation of smooth muscle contraction (GO:0006940)	2/20	0.0161666242170096	0.3353619361381759	0	0	11.332187857961054	46.74308095109728	CHRNA3;PROK2
GO_Biological_Process_2021	positive regulation of heart contraction (GO:0045823)	2/20	0.0161666242170096	0.3353619361381759	0	0	11.332187857961054	46.74308095109728	NPPA;ADRA1A
GO_Biological_Process_2021	central nervous system development (GO:0007417)	7/268	0.0167521960654189	0.3353619361381759	0	0	2.773236838370938	11.340391964321634	EOMES;SNTG2;DLX2;ZIC1;PBX3;DCX;PAX6
GO_Biological_Process_2021	sensory organ development (GO:0007423)	3/56	0.0175649909527098	0.3353619361381759	0	0	5.792648352722651	23.413001311138085	FOXE3;PBX3;PAX6
GO_Biological_Process_2021	heparan sulfate proteoglycan metabolic process (GO:0030201)	2/21	0.0177544554426093	0.3353619361381759	0	0	10.735214324470972	43.27492411050007	HS3ST3B1;HS6ST2
