LINE 227 : 2022-05-03 15:32:33,814 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-05-03 15:32:33,988 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 971 : 2022-05-03 15:32:33,997 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-05-03 15:32:34,348 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 385 : 2022-05-03 15:32:34,434 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 404 : 2022-05-03 15:32:34,435 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2021
LINE 405 : 2022-05-03 15:32:34,435 [INFO    ] Analysis name: , Enrichr Library: GO_Biological_Process_2021
LINE 227 : 2022-05-03 15:32:34,445 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-05-03 15:32:34,598 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 971 : 2022-05-03 15:32:34,610 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-05-03 15:32:45,628 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 227 : 2022-05-03 15:32:46,644 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-05-03 15:32:46,798 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=48228458&filename=GO_Biological_Process_2021..reports&backgroundType=GO_Biological_Process_2021 HTTP/1.1" 308 172
LINE 971 : 2022-05-03 15:32:46,808 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-05-03 15:32:54,306 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=48228458&filename=GO_Biological_Process_2021..reports&backgroundType=GO_Biological_Process_2021 HTTP/1.1" 200 None
LINE 413 : 2022-05-03 15:32:54,729 [INFO    ] Save file of enrichment results: Job Id:01c518bbdce075252779ee74382b7315
LINE 422 : 2022-05-03 15:32:54,782 [WARNING ] Warning: No enrich terms using library GO_Biological_Process_2021 when cutoff = 0.5
LINE 423 : 2022-05-03 15:32:54,784 [INFO    ] Done.

LINE 227 : 2022-05-03 15:32:54,812 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-05-03 15:32:54,963 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 971 : 2022-05-03 15:32:54,967 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
