Gene stable ID	Gene name	GO term accession
ENSMUSG00000048481	Mypop	GO:0003700
ENSMUSG00000048481	Mypop	GO:0001227
ENSMUSG00000048481	Mypop	GO:0001227
ENSMUSG00000075327	Zbtb2	GO:0001227
ENSMUSG00000075327	Zbtb2	GO:0001227
ENSMUSG00000075327	Zbtb2	GO:0001227
ENSMUSG00000075327	Zbtb2	GO:0001227
ENSMUSG00000075327	Zbtb2	GO:0001227
ENSMUSG00000002111	Spi1	GO:0003700
ENSMUSG00000002111	Spi1	GO:0000981
ENSMUSG00000002111	Spi1	GO:0003700
ENSMUSG00000002111	Spi1	GO:0003700
ENSMUSG00000002111	Spi1	GO:0000981
ENSMUSG00000002111	Spi1	GO:0001228
ENSMUSG00000002111	Spi1	GO:0001227
ENSMUSG00000002111	Spi1	GO:0001216
ENSMUSG00000002111	Spi1	GO:0001216
ENSMUSG00000002111	Spi1	GO:0001217
ENSMUSG00000002111	Spi1	GO:0001217
ENSMUSG00000002111	Spi1	GO:0003700
ENSMUSG00000054381	Zfp747	GO:0000981
ENSMUSG00000054381	Zfp747	GO:0000981
ENSMUSG00000040891	Foxa3	GO:0003700
ENSMUSG00000040891	Foxa3	GO:0000981
ENSMUSG00000040891	Foxa3	GO:0003700
ENSMUSG00000040891	Foxa3	GO:0000981
ENSMUSG00000030823	9130019O22Rik	GO:0000981
ENSMUSG00000030823	9130019O22Rik	GO:0000981
ENSMUSG00000078580	E430018J23Rik	GO:0000981
ENSMUSG00000078580	E430018J23Rik	GO:0000981
ENSMUSG00000078580	E430018J23Rik	GO:0000981
ENSMUSG00000045757	Zfp764	GO:0000981
ENSMUSG00000095909	Zfp997	GO:0000981
ENSMUSG00000095909	Zfp997	GO:0000981
ENSMUSG00000095909	Zfp997	GO:0000981
ENSMUSG00000091347	Gm10772	GO:0001227
ENSMUSG00000091347	Gm10772	GO:0000981
ENSMUSG00000071341	Egr4	GO:0000981
ENSMUSG00000071341	Egr4	GO:0001228
ENSMUSG00000074832	Zfp998	GO:0000981
ENSMUSG00000074832	Zfp998	GO:0000981
ENSMUSG00000074832	Zfp998	GO:0000981
ENSMUSG00000074832	Zfp998	GO:0000981
ENSMUSG00000048921	Zfp689	GO:0000981
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000029706	Pax4	GO:0003700
ENSMUSG00000029706	Pax4	GO:0001227
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000029706	Pax4	GO:0003700
ENSMUSG00000029706	Pax4	GO:0001227
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000029706	Pax4	GO:0000981
ENSMUSG00000048904	Neurog1	GO:0000981
ENSMUSG00000074397	Foxr1	GO:0003700
ENSMUSG00000074397	Foxr1	GO:0003700
ENSMUSG00000019768	Esr1	GO:0003700
ENSMUSG00000019768	Esr1	GO:0001228
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0001228
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0003700
ENSMUSG00000019768	Esr1	GO:0001228
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0003700
ENSMUSG00000019768	Esr1	GO:0003700
ENSMUSG00000019768	Esr1	GO:0001228
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000019768	Esr1	GO:0004879
ENSMUSG00000054931	Zkscan4	GO:0000981
ENSMUSG00000054931	Zkscan4	GO:0000981
ENSMUSG00000063894	Zkscan8	GO:0000981
ENSMUSG00000063894	Zkscan8	GO:0000981
ENSMUSG00000063894	Zkscan8	GO:0000981
ENSMUSG00000063894	Zkscan8	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000067942	Zfp160	GO:0000981
ENSMUSG00000050397	Foxl2	GO:0003700
ENSMUSG00000050397	Foxl2	GO:0000981
ENSMUSG00000050397	Foxl2	GO:0003700
ENSMUSG00000050397	Foxl2	GO:0003700
ENSMUSG00000050397	Foxl2	GO:0001228
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0000981
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0001228
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0000981
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0001228
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0000981
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0001228
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0000981
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000039153	Runx2	GO:0001228
ENSMUSG00000039153	Runx2	GO:0003700
ENSMUSG00000062743	Zfp677	GO:0000981
ENSMUSG00000062743	Zfp677	GO:0001228
ENSMUSG00000062743	Zfp677	GO:0000981
ENSMUSG00000062743	Zfp677	GO:0001228
ENSMUSG00000023882	Zfp54	GO:0000981
ENSMUSG00000023882	Zfp54	GO:0000981
ENSMUSG00000015619	Gata3	GO:0003700
ENSMUSG00000015619	Gata3	GO:0000981
ENSMUSG00000015619	Gata3	GO:0000981
ENSMUSG00000015619	Gata3	GO:0001228
ENSMUSG00000015619	Gata3	GO:0001228
ENSMUSG00000015619	Gata3	GO:0003700
ENSMUSG00000015619	Gata3	GO:0003700
ENSMUSG00000015619	Gata3	GO:0001227
ENSMUSG00000015619	Gata3	GO:0001227
ENSMUSG00000015619	Gata3	GO:0000981
ENSMUSG00000015619	Gata3	GO:0000981
ENSMUSG00000015619	Gata3	GO:0001227
ENSMUSG00000015619	Gata3	GO:0001228
ENSMUSG00000015619	Gata3	GO:0003700
ENSMUSG00000015619	Gata3	GO:0000981
ENSMUSG00000032292	Nr2e3	GO:0003700
ENSMUSG00000032292	Nr2e3	GO:0001228
ENSMUSG00000032292	Nr2e3	GO:0003700
ENSMUSG00000032292	Nr2e3	GO:0004879
ENSMUSG00000032292	Nr2e3	GO:0001228
ENSMUSG00000023892	Zfp51	GO:0001228
ENSMUSG00000057409	Zfp53	GO:0000981
ENSMUSG00000057409	Zfp53	GO:0001228
ENSMUSG00000057409	Zfp53	GO:0000981
ENSMUSG00000057409	Zfp53	GO:0001228
ENSMUSG00000051341	Zfp52	GO:0001228
ENSMUSG00000051341	Zfp52	GO:0001228
ENSMUSG00000067931	Zfp948	GO:0001228
ENSMUSG00000023932	Cdc5l	GO:0000981
ENSMUSG00000023932	Cdc5l	GO:0001228
ENSMUSG00000070691	Runx3	GO:0003700
ENSMUSG00000070691	Runx3	GO:0003700
ENSMUSG00000070691	Runx3	GO:0000981
ENSMUSG00000070691	Runx3	GO:0000981
ENSMUSG00000029913	Prdm5	GO:0000981
ENSMUSG00000029913	Prdm5	GO:0001227
ENSMUSG00000029913	Prdm5	GO:0001227
ENSMUSG00000040841	Six5	GO:0000981
ENSMUSG00000040841	Six5	GO:0000981
ENSMUSG00000040841	Six5	GO:0001228
ENSMUSG00000040841	Six5	GO:0001228
ENSMUSG00000035951	Ascl3	GO:0003700
ENSMUSG00000035951	Ascl3	GO:0000981
ENSMUSG00000035951	Ascl3	GO:0001227
ENSMUSG00000030001	Figla	GO:0000981
ENSMUSG00000030001	Figla	GO:0001228
ENSMUSG00000024215	Spdef	GO:0003700
ENSMUSG00000024215	Spdef	GO:0000981
ENSMUSG00000024215	Spdef	GO:0003700
ENSMUSG00000024215	Spdef	GO:0003700
ENSMUSG00000024215	Spdef	GO:0000981
ENSMUSG00000037214	Thap1	GO:0003700
ENSMUSG00000037214	Thap1	GO:0001227
ENSMUSG00000037214	Thap1	GO:0001227
ENSMUSG00000029050	Ski	GO:0001227
ENSMUSG00000058748	Zfp958	GO:0001227
ENSMUSG00000058748	Zfp958	GO:0001227
ENSMUSG00000053747	Sox14	GO:0000981
ENSMUSG00000053747	Sox14	GO:0000981
ENSMUSG00000037188	Grhl3	GO:0001228
ENSMUSG00000037188	Grhl3	GO:0001228
ENSMUSG00000037188	Grhl3	GO:0000981
ENSMUSG00000037188	Grhl3	GO:0001228
ENSMUSG00000056019	Zfp709	GO:0001227
ENSMUSG00000056019	Zfp709	GO:0000981
ENSMUSG00000056019	Zfp709	GO:0001227
ENSMUSG00000056019	Zfp709	GO:0000981
ENSMUSG00000056019	Zfp709	GO:0001227
ENSMUSG00000056019	Zfp709	GO:0000981
ENSMUSG00000089857	Zfp882	GO:0001227
ENSMUSG00000089857	Zfp882	GO:0000981
ENSMUSG00000089857	Zfp882	GO:0001227
ENSMUSG00000089857	Zfp882	GO:0000981
ENSMUSG00000089857	Zfp882	GO:0001227
ENSMUSG00000089857	Zfp882	GO:0000981
ENSMUSG00000066880	Zfp617	GO:0000981
ENSMUSG00000066880	Zfp617	GO:0000981
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000043467	Zbtb37	GO:0001227
ENSMUSG00000048450	Msx1	GO:0000981
ENSMUSG00000048450	Msx1	GO:0000981
ENSMUSG00000048450	Msx1	GO:0001228
ENSMUSG00000048450	Msx1	GO:0000981
ENSMUSG00000048450	Msx1	GO:0001227
ENSMUSG00000048450	Msx1	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000052446	Zfp961	GO:0001227
ENSMUSG00000052446	Zfp961	GO:0000981
ENSMUSG00000024220	Zfp523	GO:0000981
ENSMUSG00000024220	Zfp523	GO:0001228
ENSMUSG00000024220	Zfp523	GO:0001228
ENSMUSG00000024220	Zfp523	GO:0000981
ENSMUSG00000024220	Zfp523	GO:0001228
ENSMUSG00000024220	Zfp523	GO:0000981
ENSMUSG00000024220	Zfp523	GO:0001228
ENSMUSG00000046311	Zfp62	GO:0001228
ENSMUSG00000046311	Zfp62	GO:0001228
ENSMUSG00000046311	Zfp62	GO:0001228
ENSMUSG00000046311	Zfp62	GO:0001228
ENSMUSG00000045639	Zfp629	GO:0001228
ENSMUSG00000045639	Zfp629	GO:0001228
ENSMUSG00000045639	Zfp629	GO:0001228
ENSMUSG00000029771	Irf5	GO:0003700
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0001228
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0003700
ENSMUSG00000029771	Irf5	GO:0003700
ENSMUSG00000029771	Irf5	GO:0003700
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0001228
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0000981
ENSMUSG00000029771	Irf5	GO:0001228
ENSMUSG00000027490	E2f1	GO:0000981
ENSMUSG00000027490	E2f1	GO:0003700
ENSMUSG00000027490	E2f1	GO:0003700
ENSMUSG00000027490	E2f1	GO:0000981
ENSMUSG00000027490	E2f1	GO:0001216
ENSMUSG00000027490	E2f1	GO:0000981
ENSMUSG00000027490	E2f1	GO:0000981
ENSMUSG00000027490	E2f1	GO:0001216
ENSMUSG00000027490	E2f1	GO:0003700
ENSMUSG00000059842	Zfp341	GO:0000981
ENSMUSG00000059842	Zfp341	GO:0001216
ENSMUSG00000059842	Zfp341	GO:0001216
ENSMUSG00000059842	Zfp341	GO:0000981
ENSMUSG00000059842	Zfp341	GO:0001216
ENSMUSG00000059842	Zfp341	GO:0000981
ENSMUSG00000059842	Zfp341	GO:0001216
ENSMUSG00000026610	Esrrg	GO:0003700
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0003700
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0003700
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0001228
ENSMUSG00000026610	Esrrg	GO:0004879
ENSMUSG00000002250	Ppard	GO:0003700
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0001227
ENSMUSG00000002250	Ppard	GO:0003700
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0001227
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0003700
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002250	Ppard	GO:0003700
ENSMUSG00000002250	Ppard	GO:0004879
ENSMUSG00000002578	Ikzf4	GO:0003700
ENSMUSG00000002578	Ikzf4	GO:0003700
ENSMUSG00000002578	Ikzf4	GO:0003700
ENSMUSG00000055148	Klf2	GO:0000981
ENSMUSG00000055148	Klf2	GO:0003700
ENSMUSG00000055148	Klf2	GO:0003700
ENSMUSG00000055148	Klf2	GO:0003700
ENSMUSG00000055148	Klf2	GO:0000981
ENSMUSG00000055148	Klf2	GO:0000981
ENSMUSG00000055148	Klf2	GO:0003700
ENSMUSG00000018983	E2f2	GO:0000981
ENSMUSG00000018983	E2f2	GO:0001228
ENSMUSG00000018983	E2f2	GO:0003700
ENSMUSG00000018983	E2f2	GO:0001228
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000027833	Shox2	GO:0001227
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000027833	Shox2	GO:0000981
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000030232	Aebp2	GO:0001227
ENSMUSG00000046556	Zfp319	GO:0001228
ENSMUSG00000075304	Sp5	GO:0000981
ENSMUSG00000075304	Sp5	GO:0001227
ENSMUSG00000075304	Sp5	GO:0001227
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0000981
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0001228
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000003545	Fosb	GO:0003700
ENSMUSG00000051351	Zfp46	GO:0001227
ENSMUSG00000051351	Zfp46	GO:0000981
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000002249	Tead3	GO:0000981
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000002249	Tead3	GO:0000981
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000002249	Tead3	GO:0003700
ENSMUSG00000028042	Zbtb7b	GO:0000981
ENSMUSG00000028042	Zbtb7b	GO:0003700
ENSMUSG00000028042	Zbtb7b	GO:0001228
ENSMUSG00000028042	Zbtb7b	GO:0000981
ENSMUSG00000028042	Zbtb7b	GO:0003700
ENSMUSG00000028042	Zbtb7b	GO:0001228
ENSMUSG00000028042	Zbtb7b	GO:0000981
ENSMUSG00000028042	Zbtb7b	GO:0003700
ENSMUSG00000028042	Zbtb7b	GO:0001228
ENSMUSG00000028042	Zbtb7b	GO:0000981
ENSMUSG00000028042	Zbtb7b	GO:0003700
ENSMUSG00000028042	Zbtb7b	GO:0001228
ENSMUSG00000061079	Zfp143	GO:0000981
ENSMUSG00000061079	Zfp143	GO:0001228
ENSMUSG00000061079	Zfp143	GO:0000981
ENSMUSG00000061079	Zfp143	GO:0001228
ENSMUSG00000061079	Zfp143	GO:0000981
ENSMUSG00000061079	Zfp143	GO:0001228
ENSMUSG00000061079	Zfp143	GO:0001228
ENSMUSG00000061079	Zfp143	GO:0000981
ENSMUSG00000061079	Zfp143	GO:0001228
ENSMUSG00000043753	Dmrta1	GO:0000981
ENSMUSG00000070902	Zfp352	GO:0000981
ENSMUSG00000070902	Zfp352	GO:0000981
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0001228
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0001228
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000038805	Six3	GO:0000981
ENSMUSG00000015605	Srf	GO:0000981
ENSMUSG00000015605	Srf	GO:0000981
ENSMUSG00000015605	Srf	GO:0001228
ENSMUSG00000015605	Srf	GO:0001228
ENSMUSG00000015605	Srf	GO:0003700
ENSMUSG00000015605	Srf	GO:0003700
ENSMUSG00000015605	Srf	GO:0000981
ENSMUSG00000015605	Srf	GO:0001228
ENSMUSG00000015605	Srf	GO:0003700
ENSMUSG00000049728	Zfp668	GO:0001228
ENSMUSG00000049728	Zfp668	GO:0001227
ENSMUSG00000049728	Zfp668	GO:0001228
ENSMUSG00000049728	Zfp668	GO:0001227
ENSMUSG00000049728	Zfp668	GO:0001228
ENSMUSG00000049728	Zfp668	GO:0001227
ENSMUSG00000049728	Zfp668	GO:0001228
ENSMUSG00000049728	Zfp668	GO:0001227
ENSMUSG00000042613	Pbxip1	GO:0001228
ENSMUSG00000042613	Pbxip1	GO:0001228
ENSMUSG00000031621	Isx	GO:0000981
ENSMUSG00000031621	Isx	GO:0000981
ENSMUSG00000031621	Isx	GO:0001227
ENSMUSG00000031621	Isx	GO:0000981
ENSMUSG00000031621	Isx	GO:0000981
ENSMUSG00000031621	Isx	GO:0001227
ENSMUSG00000014603	Alx3	GO:0000981
ENSMUSG00000014603	Alx3	GO:0000981
ENSMUSG00000014603	Alx3	GO:0003700
ENSMUSG00000014603	Alx3	GO:0000981
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0000981
ENSMUSG00000058440	Nrf1	GO:0001228
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0000981
ENSMUSG00000058440	Nrf1	GO:0001228
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0001228
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0003700
ENSMUSG00000058440	Nrf1	GO:0003700
